ticket,signal,is_long,profit,bars,close_time,reason,run
119,EMA_CROSS_BEAR,False,-131.82630995279214,2,2023-10-16 07:00:00,SL,A_nofilter
120,EMA_CROSS_BULL,True,108.49241702052745,3,2023-10-16 09:00:00,TP1,A_nofilter
120,EMA_CROSS_BULL,True,216.9848340410549,3,2023-10-16 09:00:00,TP2,A_nofilter
121,EMA_CROSS_BULL,True,-137.8509588054576,7,2023-11-02 01:00:00,SL,A_nofilter
122,EMA_CROSS_BEAR,False,-133.93363627318467,13,2023-11-06 09:00:00,SL,A_nofilter
123,EMA_CROSS_BULL,True,-129.91129916223872,4,2023-11-06 15:00:00,SL,A_nofilter
124,EMA_CROSS_BEAR,False,-133.01690293942556,1,2023-11-09 10:00:00,SL,A_nofilter
125,EMA_CROSS_BULL,True,-128.2247223515369,3,2023-11-09 13:00:00,SL,A_nofilter
126,EMA_CROSS_BEAR,False,-128.33095199696004,2,2023-11-13 10:00:00,SL,A_nofilter
1,EMA_CROSS_BEAR,False,-99.0739881612876,3,2023-01-09 14:00:00,SL,B_filtered
2,EMA_CROSS_BULL,True,83.46380614319355,4,2023-01-11 17:00:00,TP1,B_filtered
2,EMA_CROSS_BULL,True,0.5499999999994998,9,2023-01-11 22:00:00,SL,B_filtered
3,EMA_CROSS_BEAR,False,-102.484003865884,14,2023-01-17 09:00:00,SL,B_filtered
4,EMA_CROSS_BULL,True,83.35523715630484,6,2023-01-17 10:00:00,TP1,B_filtered
4,EMA_CROSS_BULL,True,0.5499999999994998,30,2023-01-18 10:00:00,SL,B_filtered
5,EMA_CROSS_BULL,True,-99.88132887568781,2,2023-01-20 10:00:00,SL,B_filtered
6,EMA_CROSS_BULL,True,83.79163874935534,10,2023-01-23 03:00:00,TP1,B_filtered
6,EMA_CROSS_BULL,True,158.76310499877647,21,2023-01-23 14:00:00,TP2,B_filtered
7,EMA_CROSS_BULL,True,85.02193206475205,3,2023-01-25 00:00:00,TP1,B_filtered
7,EMA_CROSS_BULL,True,0.6999999999993635,4,2023-01-25 01:00:00,SL,B_filtered
8,EMA_CROSS_BEAR,False,85.25861733257318,1,2023-01-25 02:00:00,TP1,B_filtered
8,EMA_CROSS_BEAR,False,0.4499999999995907,2,2023-01-25 03:00:00,SL,B_filtered
9,EMA_CROSS_BEAR,False,88.52757548003581,3,2023-01-31 00:00:00,TP1,B_filtered
9,EMA_CROSS_BEAR,False,0.34999999999968173,23,2023-01-31 20:00:00,SL,B_filtered
10,EMA_CROSS_BULL,True,86.6981600151289,5,2023-01-31 23:00:00,TP1,B_filtered
10,EMA_CROSS_BULL,True,0.4499999999995907,16,2023-02-01 10:00:00,SL,B_filtered
11,EMA_CROSS_BEAR,False,89.0890303005284,22,2023-02-03 04:00:00,TP1,B_filtered
11,EMA_CROSS_BEAR,False,0.34999999999968173,44,2023-02-06 02:00:00,SL,B_filtered
12,EMA_CROSS_BEAR,False,87.9171249179808,2,2023-02-08 18:00:00,TP1,B_filtered
12,EMA_CROSS_BEAR,False,175.8342498359616,5,2023-02-08 21:00:00,TP2,B_filtered
13,EMA_CROSS_BULL,True,92.79230755638127,6,2023-02-14 16:00:00,TP1,B_filtered
13,EMA_CROSS_BULL,True,185.58461511276255,9,2023-02-14 19:00:00,TP2,B_filtered
14,EMA_CROSS_BULL,True,-109.99568835238733,5,2023-02-16 11:00:00,SL,B_filtered
15,EMA_CROSS_BEAR,False,90.47235730934744,1,2023-02-27 08:00:00,TP1,B_filtered
15,EMA_CROSS_BEAR,False,0.4499999999995907,2,2023-02-27 09:00:00,SL,B_filtered
16,EMA_CROSS_BULL,True,-109.62077568990026,2,2023-03-02 09:00:00,SL,B_filtered
17,EMA_CROSS_BULL,True,93.32023588829088,6,2023-03-03 05:00:00,TP1,B_filtered
